dataset_id,link,closed_model,model_name
togethercomputer/llama-instruct,https://huggingface.co/datasets/togethercomputer/llama-instruct,True,Llama-2-70B-Chat
shuyuej/gsm8k_testing_chatgpt_generated,https://huggingface.co/datasets/shuyuej/gsm8k_testing_chatgpt_generated,True,gpt-3.5-turbo
MediaStreamAI/OpenMathReasoning,https://huggingface.co/datasets/MediaStreamAI/OpenMathReasoning,False,
NarsAI/OpenMathReasoning,https://huggingface.co/datasets/NarsAI/OpenMathReasoning,False,
OcasAI/OpenMathReasoning,https://huggingface.co/datasets/OcasAI/OpenMathReasoning,False,
Mohamedhanafi/OpenMathReasoning,https://huggingface.co/datasets/Mohamedhanafi/OpenMathReasoning,False,
EleutherAI/reasoning-mix,https://huggingface.co/datasets/EleutherAI/reasoning-mix,False,
kerembb123/scienceqa-math-cot,https://huggingface.co/datasets/kerembb123/scienceqa-math-cot,False,
Mobiusi/math_cot_th_10k,https://huggingface.co/datasets/Mobiusi/math_cot_th_10k,False,
Mobiusi/numina-math-qwq-cot-improved-dataset,https://huggingface.co/datasets/Mobiusi/numina-math-qwq-cot-improved-dataset,False,
xiongbubu/OpenMathReasoning,https://huggingface.co/datasets/xiongbubu/OpenMathReasoning,False,
yashmarathe/OpenMathReasoning,https://huggingface.co/datasets/yashmarathe/OpenMathReasoning,False,
neuralfoundry-coder/OpenMathReasoning-mini-ko,https://huggingface.co/datasets/neuralfoundry-coder/OpenMathReasoning-mini-ko,False,
nvidia/OpenMathReasoning,https://huggingface.co/datasets/nvidia/OpenMathReasoning,False,
Sellopale/OpenMathReasoning,https://huggingface.co/datasets/Sellopale/OpenMathReasoning,False,
nnmax/OpenMathReasoning,https://huggingface.co/datasets/nnmax/OpenMathReasoning,False,
introvoyz041/OpenMathReasoning,https://huggingface.co/datasets/introvoyz041/OpenMathReasoning,False,
neko-llm/HLE_SFT_OpenMathReasoning,https://huggingface.co/datasets/neko-llm/HLE_SFT_OpenMathReasoning,False,
mizinovmv/ru_OpenMathInstruct-2,https://huggingface.co/datasets/mizinovmv/ru_OpenMathInstruct-2,True,Llama3.1-405B-Instruct
twinkle-ai/tw-math-reasoning-2k,https://huggingface.co/datasets/twinkle-ai/tw-math-reasoning-2k,True,perplexity-ai/r1-1776
amd/Instella-GSM8K-synthetic,https://huggingface.co/datasets/amd/Instella-GSM8K-synthetic,False,
eagle0504/openai-gsm8k-enhanced-using-together-ai-deepseek-train8k-test1k-v1,https://huggingface.co/datasets/eagle0504/openai-gsm8k-enhanced-using-together-ai-deepseek-train8k-test1k-v1,True,DeepSeek
miscovery/Math_CoT_Arabic_English_Reasoning,https://huggingface.co/datasets/miscovery/Math_CoT_Arabic_English_Reasoning,False,
Aarushhh/math-reasoning-10k,https://huggingface.co/datasets/Aarushhh/math-reasoning-10k,False,
Mobiusi/math_ko_reasoning_10K,https://huggingface.co/datasets/Mobiusi/math_ko_reasoning_10K,False,
berhaan/Turkish-gsm8k,https://huggingface.co/datasets/berhaan/Turkish-gsm8k,False,
issai/GSM8k_Kazakh_Russian,https://huggingface.co/datasets/issai/GSM8k_Kazakh_Russian,False,
allenai/lila,https://huggingface.co/datasets/allenai/lila,False,
ethanker/math-reasoning-packed-1024,https://huggingface.co/datasets/ethanker/math-reasoning-packed-1024,False,
est-ai/math-reasoning-sft,https://huggingface.co/datasets/est-ai/math-reasoning-sft,False,
allenai/tulu-v3.1-mix-preview-4096-OLMoE,https://huggingface.co/datasets/allenai/tulu-v3.1-mix-preview-4096-OLMoE,False,
open-llm-leaderboard/EpistemeAI__ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math-details,True,EpistemeAI/ReasoningCore-1.0-3B-Instruct-r01-Reflect-Math
sdiazlor/math-python-reasoning-dataset,https://huggingface.co/datasets/sdiazlor/math-python-reasoning-dataset,False,
open-llm-leaderboard/EpistemeAI__Reasoning-Llama-3.2-3B-Math-Instruct-RE1-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Reasoning-Llama-3.2-3B-Math-Instruct-RE1-details,True,EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1
open-llm-leaderboard/EpistemeAI__Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO-details,True,EpistemeAI/Reasoning-Llama-3.2-3B-Math-Instruct-RE1-ORPO
raniero/sn96g-math-reasoning-2chunk1-20250919_200707,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-2chunk1-20250919_200707,True,LLaMA
raniero/sn96g-math-reasoning-2chunk1-20250919_191618,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-2chunk1-20250919_191618,True,LLaMA
microsoft/Updesh_beta,https://huggingface.co/datasets/microsoft/Updesh_beta,True,Llama-3.1-405B-Instruct
erayalp/easy_turkish_math_reasoning,https://huggingface.co/datasets/erayalp/easy_turkish_math_reasoning,False,
ykarout/nvidia-openmath-phi-format,https://huggingface.co/datasets/ykarout/nvidia-openmath-phi-format,False,
NNEngine/Reasoning-Heavy-Math-ML-Explanations,https://huggingface.co/datasets/NNEngine/Reasoning-Heavy-Math-ML-Explanations,False,
ericrisco/gsm8k-translated-catalan,https://huggingface.co/datasets/ericrisco/gsm8k-translated-catalan,False,
agicorp/MetaMath_DPO_FewShot,https://huggingface.co/datasets/agicorp/MetaMath_DPO_FewShot,False,
oumi-ai/MetaMathQA-R1,https://huggingface.co/datasets/oumi-ai/MetaMathQA-R1,True,DeepSeek-R1
PursuitOfDataScience/openmath-reasoning-minimax,https://huggingface.co/datasets/PursuitOfDataScience/openmath-reasoning-minimax,True,nvidia/NVIDIA-Nemotron-3-Nano-30B
GetSoloTech/Math-Reasoning,https://huggingface.co/datasets/GetSoloTech/Math-Reasoning,False,
VISAI-AI/gsm8k-thai,https://huggingface.co/datasets/VISAI-AI/gsm8k-thai,True,Claude 3.5 Sonnet
ericrisco/gsm8k-translated-spanish,https://huggingface.co/datasets/ericrisco/gsm8k-translated-spanish,False,
madrylab/gsm8k-platinum,https://huggingface.co/datasets/madrylab/gsm8k-platinum,False,
reasoning-core/tptp_math_reasoning,https://huggingface.co/datasets/reasoning-core/tptp_math_reasoning,True,openai/gpt-5-nano
raniero/sn96g-math-reasoning-10chunk1-20250919_131902,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-10chunk1-20250919_131902,True,LLaMA
raniero/sn96g-math-reasoning-2chunk1-20250919_160048,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-2chunk1-20250919_160048,True,LLaMA
raniero/sn96g-math-reasoning-2chunk1-20250919_173548,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-2chunk1-20250919_173548,True,LLaMA
raniero/sn96g-math-reasoning-2chunk1-20250919_182607,https://huggingface.co/datasets/raniero/sn96g-math-reasoning-2chunk1-20250919_182607,True,LLaMA
Randolphzeng/Mr-GSM8K,https://huggingface.co/datasets/Randolphzeng/Mr-GSM8K,False,
flatlander1024/math_merged_cot_sol,https://huggingface.co/datasets/flatlander1024/math_merged_cot_sol,False,
Cotum/MATH-500-french-thoughts,https://huggingface.co/datasets/Cotum/MATH-500-french-thoughts,False,
yasutoshi-lab/open-math-instruct-2-en-ja-cot,https://huggingface.co/datasets/yasutoshi-lab/open-math-instruct-2-en-ja-cot,False,
yuyijiong/patient-math-cot,https://huggingface.co/datasets/yuyijiong/patient-math-cot,True,gpt-4o
BAAI/InfinityMATH,https://huggingface.co/datasets/BAAI/InfinityMATH,False,
BAAI/OpenSeek-Synthetic-Reasoning-Data-Examples,https://huggingface.co/datasets/BAAI/OpenSeek-Synthetic-Reasoning-Data-Examples,False,
pbcong/gsm8k_step_by_step,https://huggingface.co/datasets/pbcong/gsm8k_step_by_step,True,GPT-4o
thunder-research-group/SNU_Thunder-synthetic-math,https://huggingface.co/datasets/thunder-research-group/SNU_Thunder-synthetic-math,False,
gretelai/synthetic-gsm8k-evolutionary-405b,https://huggingface.co/datasets/gretelai/synthetic-gsm8k-evolutionary-405b,False,
VishwamAI/OpenMath-GSM8K-masked,https://huggingface.co/datasets/VishwamAI/OpenMath-GSM8K-masked,False,
abacusai/MetaMath_DPO_FewShot,https://huggingface.co/datasets/abacusai/MetaMath_DPO_FewShot,False,
gabrielmbmb/gsm8k-reasoning-paths-combined,https://huggingface.co/datasets/gabrielmbmb/gsm8k-reasoning-paths-combined,True,meta-llama/Llama-3.3-70B-Instruct
chadlzx/gsm8k-fullcot_400kaugmented_math_scaffolding_formula,https://huggingface.co/datasets/chadlzx/gsm8k-fullcot_400kaugmented_math_scaffolding_formula,False,
DoggiAI/GSM8K_zh_tw,https://huggingface.co/datasets/DoggiAI/GSM8K_zh_tw,False,
bezir/gsm8k-tr,https://huggingface.co/datasets/bezir/gsm8k-tr,True,gemini-1.5-flash
bingbangboom/gsm8k-hindi,https://huggingface.co/datasets/bingbangboom/gsm8k-hindi,False,
LLMTeamAkiyama/cleand_meta-math_MetaMathQA,https://huggingface.co/datasets/LLMTeamAkiyama/cleand_meta-math_MetaMathQA,False,
GenRM/MetaMath_DPO_FewShot-abacusai,https://huggingface.co/datasets/GenRM/MetaMath_DPO_FewShot-abacusai,False,
flatlander1024/math_merged_cot_sol_hard,https://huggingface.co/datasets/flatlander1024/math_merged_cot_sol_hard,False,
Omartificial-Intelligence-Space/Arabic-gsm8k,https://huggingface.co/datasets/Omartificial-Intelligence-Space/Arabic-gsm8k,False,
allenai/WildChat-4.8M,https://huggingface.co/datasets/allenai/WildChat-4.8M,True,ChatGPT
microsoft/mediflow,https://huggingface.co/datasets/microsoft/mediflow,True,GPT-4o
EleutherAI/muInstruct,https://huggingface.co/datasets/EleutherAI/muInstruct,False,
allenai/RLVR-GSM,https://huggingface.co/datasets/allenai/RLVR-GSM,False,
allenai/tulu-3-sft-olmo-2-mixture-0225,https://huggingface.co/datasets/allenai/tulu-3-sft-olmo-2-mixture-0225,False,
allenai/Dolci-DPO-Model-Response-Pool,https://huggingface.co/datasets/allenai/Dolci-DPO-Model-Response-Pool,True,Olmo 3
allenai/sqa_reranking_eval,https://huggingface.co/datasets/allenai/sqa_reranking_eval,True,GPT-4o
allenai/RLVR-GSM-MATH-IF-Mixed-Constraints,https://huggingface.co/datasets/allenai/RLVR-GSM-MATH-IF-Mixed-Constraints,False,
deepseek-ai/DeepSeek-Prover-V1,https://huggingface.co/datasets/deepseek-ai/DeepSeek-Prover-V1,False,
allenai/WildChat-1M-Full,https://huggingface.co/datasets/allenai/WildChat-1M-Full,True,ChatGPT
microsoft/WildFeedback,https://huggingface.co/datasets/microsoft/WildFeedback,True,ChatGPT
MARIO-Math-Reasoning/AlphaMath-Trainset,https://huggingface.co/datasets/MARIO-Math-Reasoning/AlphaMath-Trainset,False,
allenai/soda,https://huggingface.co/datasets/allenai/soda,True,InstructGPT
allenai/WildChat,https://huggingface.co/datasets/allenai/WildChat,True,ChatGPT
allenai/WildChat-1M,https://huggingface.co/datasets/allenai/WildChat-1M,True,ChatGPT
taresco/open_math_instruct_v2_translated_african_languages,https://huggingface.co/datasets/taresco/open_math_instruct_v2_translated_african_languages,True,GPT-4o
kaleinaNyan/OpenMathInstruct-1-Parsed,https://huggingface.co/datasets/kaleinaNyan/OpenMathInstruct-1-Parsed,False,
OpenLLM-Ro/ro_gsm8k,https://huggingface.co/datasets/OpenLLM-Ro/ro_gsm8k,False,
SakanaAI/gsm8k-ja-test_250-1319,https://huggingface.co/datasets/SakanaAI/gsm8k-ja-test_250-1319,True,gpt-4-0125-preview
hkust-nlp/dart-math-pool-gsm8k,https://huggingface.co/datasets/hkust-nlp/dart-math-pool-gsm8k,False,
nthakur/GSM8KInstruct-Parallel-instruct,https://huggingface.co/datasets/nthakur/GSM8KInstruct-Parallel-instruct,False,
davidberenstein1957/python-math-assistant,https://huggingface.co/datasets/davidberenstein1957/python-math-assistant,False,
openai/coval,https://huggingface.co/datasets/openai/coval,True,
introvoyz041/OpenMathInstruct-2,https://huggingface.co/datasets/introvoyz041/OpenMathInstruct-2,True,Llama3.1-405B-Instruct
nvidia/OpenMathInstruct-2,https://huggingface.co/datasets/nvidia/OpenMathInstruct-2,True,Llama3.1-405B-Instruct
kunishou/OpenMathInstruct-1-1.8m-ja,https://huggingface.co/datasets/kunishou/OpenMathInstruct-1-1.8m-ja,False,
neurotechnology/lt_gsm8k,https://huggingface.co/datasets/neurotechnology/lt_gsm8k,True,GPT-4
pbatra/MetaMathQA-ShareGPT,https://huggingface.co/datasets/pbatra/MetaMathQA-ShareGPT,False,
gretelai/gretel-math-gsm8k-v0,https://huggingface.co/datasets/gretelai/gretel-math-gsm8k-v0,True,meta-llama/Meta-Llama-3.1-405B
gabrielmbmb/gsm8k-mugglemath-temp-1-top-p-1,https://huggingface.co/datasets/gabrielmbmb/gsm8k-mugglemath-temp-1-top-p-1,True,meta-llama/Llama-3.3-70B-Instruct
manueldeprada/synthetic-math-500,https://huggingface.co/datasets/manueldeprada/synthetic-math-500,False,
sinatra-rd/MetaMathQA-40K-GPT3.5,https://huggingface.co/datasets/sinatra-rd/MetaMathQA-40K-GPT3.5,False,
alvarobartt/openhermes-preferences-metamath,https://huggingface.co/datasets/alvarobartt/openhermes-preferences-metamath,False,
yamaTK/japanese-math-synthetic-108k,https://huggingface.co/datasets/yamaTK/japanese-math-synthetic-108k,False,
gabrielmbmb/gsm8k-mugglemath,https://huggingface.co/datasets/gabrielmbmb/gsm8k-mugglemath,True,meta-llama/Llama-3.3-70B-Instruct
Lots-of-LoRAs/task1423_mathqa_geometry,https://huggingface.co/datasets/Lots-of-LoRAs/task1423_mathqa_geometry,False,
gretelai/gsm8k-synthetic-diverse-8b,https://huggingface.co/datasets/gretelai/gsm8k-synthetic-diverse-8b,False,
rvv-karma/Math-QA,https://huggingface.co/datasets/rvv-karma/Math-QA,True,GPT-4
allenai/Dolci-Think-RL-7B-Completions-SFT,https://huggingface.co/datasets/allenai/Dolci-Think-RL-7B-Completions-SFT,False,
