dataset_id,link,tags,description,score
introvoyz041/dataclaw-peteromallet,https://huggingface.co/datasets/introvoyz041/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/introvoyz041/dataclaw-peteromallet.",17
louyu/dataclaw-peteromallet,https://huggingface.co/datasets/louyu/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/louyu/dataclaw-peteromallet.",17
Codingxx/dataclaw-peteromallet,https://huggingface.co/datasets/Codingxx/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
549


Projects
14


Input tokens
15.1B


Output tokens
4.6M


Last updated
2026-02-24


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
270


claude-opus-4-5-20251101
256


claude-sonnet-4-6
16


claude-haiku-4-5-20251001
6


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one… See the full description on the dataset page: https://huggingface.co/datasets/Codingxx/dataclaw-peteromallet.",17
Edmon02/dataclaw-peteromallet,https://huggingface.co/datasets/Edmon02/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
549


Projects
14


Input tokens
15.1B


Output tokens
4.6M


Last updated
2026-02-24


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
270


claude-opus-4-5-20251101
256


claude-sonnet-4-6
16


claude-haiku-4-5-20251001
6


claude-sonnet-4-5-20250929
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one… See the full description on the dataset page: https://huggingface.co/datasets/Edmon02/dataclaw-peteromallet.",17
peteromallet/dataclaw-peteromallet,https://huggingface.co/datasets/peteromallet/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/peteromallet/dataclaw-peteromallet.",17
Vigneshwaran/dataclaw-peteromallet,https://huggingface.co/datasets/Vigneshwaran/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/Vigneshwaran/dataclaw-peteromallet.",17
parani01/dataclaw-parani01,https://huggingface.co/datasets/parani01/dataclaw-parani01,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-opus-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
5


Projects
2


Input tokens
17.4M


Output tokens
69K


Last updated
2026-02-26


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-6
5


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"": ""claude-opus-4-6"",
  ""git_branch"":… See the full description on the dataset page: https://huggingface.co/datasets/parani01/dataclaw-parani01.",17
DJTRIXUK/dataclaw-DJTRIXUK,https://huggingface.co/datasets/DJTRIXUK/dataclaw-DJTRIXUK,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-opus-4-5-20251101']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
2


Projects
1


Input tokens
18.3M


Output tokens
13K


Last updated
2026-02-25


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-opus-4-5-20251101
2


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"": ""claude-opus-4-6""… See the full description on the dataset page: https://huggingface.co/datasets/DJTRIXUK/dataclaw-DJTRIXUK.",17
vaynelee/dataclaw-vaynelee,https://huggingface.co/datasets/vaynelee/dataclaw-vaynelee,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'glm-4.7']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
38


Projects
9


Input tokens
553K


Output tokens
11K


Last updated
2026-03-16


	


	
		
		Models
	


	
		
Model
Sessions


		
glm-4.7
38


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"": ""claude-opus-4-6"",
  ""git_branch"": ""main""… See the full description on the dataset page: https://huggingface.co/datasets/vaynelee/dataclaw-vaynelee.",17
0010Grent/dataclaw-peteromallet,https://huggingface.co/datasets/0010Grent/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/0010Grent/dataclaw-peteromallet.",17
arefmikati/dataclaw-peteromallet,https://huggingface.co/datasets/arefmikati/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/arefmikati/dataclaw-peteromallet.",17
hitlabstudios/dataclaw-peteromallet,https://huggingface.co/datasets/hitlabstudios/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/hitlabstudios/dataclaw-peteromallet.",17
Noah-12/dataclaw-peteromallet,https://huggingface.co/datasets/Noah-12/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/Noah-12/dataclaw-peteromallet.",17
GolienHzmsr/dataclaw-GolienHzmsr,https://huggingface.co/datasets/GolienHzmsr/dataclaw-GolienHzmsr,"['task_categories:text-generation', 'language:en', 'license:mit', 'region:us', 'dataclaw', 'claude-code', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-sonnet-4-6']","
	
		
		Claude Code Conversation Logs
	

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
		
		Stats
	


	
		
Metric
Value


		
Sessions
1


Projects
1


Input tokens
23.8M


Output tokens
4K


Last updated
2026-02-25


	


	
		
		Models
	


	
		
Model
Sessions


		
claude-sonnet-4-6
1


	


	
		
		Schema
	

Each line in conversations.jsonl is one conversation session:
{
  ""session_id"": ""uuid"",
  ""project"": ""my-project"",
  ""model"": ""claude-opus-4-6"",
  ""git_branch"":… See the full description on the dataset page: https://huggingface.co/datasets/GolienHzmsr/dataclaw-GolienHzmsr.",17
AbraZero/dataclaw-peteromallet,https://huggingface.co/datasets/AbraZero/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/AbraZero/dataclaw-peteromallet.",17
amine-khelif/dataclaw-peteromallet,https://huggingface.co/datasets/amine-khelif/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/amine-khelif/dataclaw-peteromallet.",17
nathanstvnsn/dataclaw-peteromallet,https://huggingface.co/datasets/nathanstvnsn/dataclaw-peteromallet,"['task_categories:text-generation', 'language:en', 'license:mit', 'size_categories:n<1K', 'format:json', 'modality:text', 'library:datasets', 'library:pandas', 'library:polars', 'library:mlcroissant', 'region:us', 'dataclaw', 'claude-code', 'codex-cli', 'conversations', 'coding-assistant', 'tool-use', 'agentic-coding', 'claude-haiku-4-5-20251001', 'claude-opus-4-5-20251101', 'claude-opus-4-6', 'claude-sonnet-4-5-20250929', 'claude-sonnet-4-6']","
	
		
		Coding Agent Conversation Logs
	


This is a performance art project. Anthropic built their models on the world's freely shared information, then introduced increasingly dystopian data policies to stop anyone else from doing the same — pulling up the ladder behind them. DataClaw lets you throw the ladder back down. The dataset it produces is yours to share.

Exported with DataClaw.
Tag: dataclaw — Browse all DataClaw datasets

	
	
	
		Stats
	


	
		
Metric
Value


		Sessions
549… See the full description on the dataset page: https://huggingface.co/datasets/nathanstvnsn/dataclaw-peteromallet.",17
