dataset_id,link,closed_model
mesolitica/mixtral-malaysian-general-qa,https://huggingface.co/datasets/mesolitica/mixtral-malaysian-general-qa,False
bigcode/the-stack-github-issues,https://huggingface.co/datasets/bigcode/the-stack-github-issues,True
mesolitica/Malaysian-UltraChat-Speech-Multiturn-Instructions,https://huggingface.co/datasets/mesolitica/Malaysian-UltraChat-Speech-Multiturn-Instructions,False
openai/coval,https://huggingface.co/datasets/openai/coval,True
allenai/Dolci-Think-RL-32B,https://huggingface.co/datasets/allenai/Dolci-Think-RL-32B,False
Tonari-no-usagi/Japanese_Function_Calling_Dataset,https://huggingface.co/datasets/Tonari-no-usagi/Japanese_Function_Calling_Dataset,False
Johin/function-calling-dataset,https://huggingface.co/datasets/Johin/function-calling-dataset,True
future-architect/Llama-3.3-Future-Code-Instructions-MT,https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions-MT,True
allenai/tulu-v2-sft-mixture-olmo-2048,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture-olmo-2048,False
Iker/glaive-code-assistant-v3-sharegpt,https://huggingface.co/datasets/Iker/glaive-code-assistant-v3-sharegpt,False
allenai/WildChat-4.8M-Full,https://huggingface.co/datasets/allenai/WildChat-4.8M-Full,True
DataPilot/Function-Calling-Japanese-Dataset,https://huggingface.co/datasets/DataPilot/Function-Calling-Japanese-Dataset,True
PJMixers-Dev/wildchat-prep,https://huggingface.co/datasets/PJMixers-Dev/wildchat-prep,False
TeichAI/Claude-Opus-Dataclaw-Unredacted,https://huggingface.co/datasets/TeichAI/Claude-Opus-Dataclaw-Unredacted,True
JasonW2025/Claude-Opus-Dataclaw-Unredacted,https://huggingface.co/datasets/JasonW2025/Claude-Opus-Dataclaw-Unredacted,True
mesolitica/chatgpt-code-instruct-multiturn,https://huggingface.co/datasets/mesolitica/chatgpt-code-instruct-multiturn,True
fireworks-ai/function-calling-eval-dataset-v0,https://huggingface.co/datasets/fireworks-ai/function-calling-eval-dataset-v0,False
PJMixers-Dev/ThinkyThinky-Gemini-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-Gemini-ShareGPT,True
PJMixers-Dev/ytz20_LMSYS-Chat-GPT-5-Chat-Response-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/ytz20_LMSYS-Chat-GPT-5-Chat-Response-ShareGPT,False
future-architect/UI-Redline-bench,https://huggingface.co/datasets/future-architect/UI-Redline-bench,False
PJMixers-Dev/ThinkyThinky-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/ThinkyThinky-ShareGPT,True
mesolitica/kesalahan-tatabahasa-instructions,https://huggingface.co/datasets/mesolitica/kesalahan-tatabahasa-instructions,False
mesolitica/chatgpt-malay-function-call,https://huggingface.co/datasets/mesolitica/chatgpt-malay-function-call,True
microsoft/orca-agentinstruct-1M-v1,https://huggingface.co/datasets/microsoft/orca-agentinstruct-1M-v1,True
microsoft/FEA-Bench,https://huggingface.co/datasets/microsoft/FEA-Bench,False
microsoft/prototypical-hai-collaborations,https://huggingface.co/datasets/microsoft/prototypical-hai-collaborations,True
microsoft/rifts,https://huggingface.co/datasets/microsoft/rifts,True
microsoft/WildFeedback,https://huggingface.co/datasets/microsoft/WildFeedback,True
google/mobile-actions,https://huggingface.co/datasets/google/mobile-actions,False
bigcode/starcoderdata,https://huggingface.co/datasets/bigcode/starcoderdata,False
bigcode/autocodearena-v0,https://huggingface.co/datasets/bigcode/autocodearena-v0,False
mesolitica/translated-CodeUltraFeedback,https://huggingface.co/datasets/mesolitica/translated-CodeUltraFeedback,False
mesolitica/chatgpt-malay-instructions,https://huggingface.co/datasets/mesolitica/chatgpt-malay-instructions,True
microsoft/EpiCoder-func-380k,https://huggingface.co/datasets/microsoft/EpiCoder-func-380k,False
internlm/Agent-FLAN,https://huggingface.co/datasets/internlm/Agent-FLAN,False
google/MapTrace,https://huggingface.co/datasets/google/MapTrace,
google/deepsearchqa,https://huggingface.co/datasets/google/deepsearchqa,False
allenai/tulu-3-wildchat-unused,https://huggingface.co/datasets/allenai/tulu-3-wildchat-unused,True
allenai/tulu-3-sft-personas-code,https://huggingface.co/datasets/allenai/tulu-3-sft-personas-code,False
PJMixers-Dev/glaiveai_glaive-code-assistant-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/glaiveai_glaive-code-assistant-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
PJMixers-Dev/bigcode_self-oss-instruct-sc2-exec-filter-50k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/bigcode_self-oss-instruct-sc2-exec-filter-50k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
NickyNicky/Code-290k-labels-programming_languages-NO_Chatgpt,https://huggingface.co/datasets/NickyNicky/Code-290k-labels-programming_languages-NO_Chatgpt,False
microsoft/TestExplora,https://huggingface.co/datasets/microsoft/TestExplora,False
microsoft/CLUES,https://huggingface.co/datasets/microsoft/CLUES,False
internlm/EndoCoT-Data,https://huggingface.co/datasets/internlm/EndoCoT-Data,False
lmsys/lmsys-chat-1m,https://huggingface.co/datasets/lmsys/lmsys-chat-1m,False
codelion/sutra-magpie-sft,https://huggingface.co/datasets/codelion/sutra-magpie-sft,False
lmsys/chatbot_arena_conversations,https://huggingface.co/datasets/lmsys/chatbot_arena_conversations,True
mesolitica/synthetic-jawi-conversation,https://huggingface.co/datasets/mesolitica/synthetic-jawi-conversation,False
allenai/olmoe-0125-1b-7b-preference-mix,https://huggingface.co/datasets/allenai/olmoe-0125-1b-7b-preference-mix,True
allenai/CoSyn-400K,https://huggingface.co/datasets/allenai/CoSyn-400K,True
codelion/math500-cot-experiment,https://huggingface.co/datasets/codelion/math500-cot-experiment,False
PJMixers-Dev/allenai_tulu-3-sft-mixture-filtered-2-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/allenai_tulu-3-sft-mixture-filtered-2-ShareGPT,False
allenai/tulu-v2-sft-mixture-olmo-4096,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture-olmo-4096,False
mesolitica/Malaysian-Speech-Instructions,https://huggingface.co/datasets/mesolitica/Malaysian-Speech-Instructions,False
NickyNicky/synthetic_text_to_sql_format_chatML_gemma,https://huggingface.co/datasets/NickyNicky/synthetic_text_to_sql_format_chatML_gemma,False
allenai/olmix,https://huggingface.co/datasets/allenai/olmix,False
allenai/reward-bench-2,https://huggingface.co/datasets/allenai/reward-bench-2,True
allenai/Dolci-Think-RL-7B-Completions-DPO,https://huggingface.co/datasets/allenai/Dolci-Think-RL-7B-Completions-DPO,False
allenai/Dolci-Instruct-RL,https://huggingface.co/datasets/allenai/Dolci-Instruct-RL,False
PJMixers-Dev/allenai_tulu-3-sft-olmo-2-mixture-0225-filtered-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/allenai_tulu-3-sft-olmo-2-mixture-0225-filtered-ShareGPT,False
allenai/href,https://huggingface.co/datasets/allenai/href,True
allenai/reward-bench-results,https://huggingface.co/datasets/allenai/reward-bench-results,True
allenai/Dolci-DPO-Model-Response-Pool,https://huggingface.co/datasets/allenai/Dolci-DPO-Model-Response-Pool,True
allenai/Dolci-Think-RL-7B-Completions-SFT,https://huggingface.co/datasets/allenai/Dolci-Think-RL-7B-Completions-SFT,False
google/Synthetic-Persona-Chat,https://huggingface.co/datasets/google/Synthetic-Persona-Chat,True
bigcode/commits_ft,https://huggingface.co/datasets/bigcode/commits_ft,False
mesolitica/Malaysian-STT-Whisper-Stage2,https://huggingface.co/datasets/mesolitica/Malaysian-STT-Whisper-Stage2,False
bigcode/commitpackft,https://huggingface.co/datasets/bigcode/commitpackft,False
mesolitica/Speech-Instructions-MalayMMLU,https://huggingface.co/datasets/mesolitica/Speech-Instructions-MalayMMLU,False
Qwen/ProcessBench,https://huggingface.co/datasets/Qwen/ProcessBench,False
microsoft/mediflow,https://huggingface.co/datasets/microsoft/mediflow,True
microsoft/NOTSOFAR,https://huggingface.co/datasets/microsoft/NOTSOFAR,
allenai/Sera-4.5A-Sphinx-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Sphinx-T1,True
bigcode/self-oss-instruct-sc2-exec-filter-50k,https://huggingface.co/datasets/bigcode/self-oss-instruct-sc2-exec-filter-50k,False
mesolitica/Malaysian-Persona,https://huggingface.co/datasets/mesolitica/Malaysian-Persona,False
microsoft/rStar-Coder,https://huggingface.co/datasets/microsoft/rStar-Coder,False
mesolitica/chatgpt4-commonsense-qa,https://huggingface.co/datasets/mesolitica/chatgpt4-commonsense-qa,True
mesolitica/chatgpt-malaysian-qa-choice,https://huggingface.co/datasets/mesolitica/chatgpt-malaysian-qa-choice,True
microsoft/Eureka-Bench-Logs,https://huggingface.co/datasets/microsoft/Eureka-Bench-Logs,False
mesolitica/Malaysian-Reasoning-Speech-Instructions,https://huggingface.co/datasets/mesolitica/Malaysian-Reasoning-Speech-Instructions,False
allenai/Sera-4.5A-Sympy-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Sympy-T1,False
allenai/Sera-4.5A-Sphinx-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Sphinx-T2,False
allenai/Sera-4.5A-Django-T1,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T1,False
allenai/Sera-4.5A-Django-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Django-T2,False
allenai/Sera-4.5A-Sympy-T2,https://huggingface.co/datasets/allenai/Sera-4.5A-Sympy-T2,True
deepmind/pg19,https://huggingface.co/datasets/deepmind/pg19,False
microsoft/FStarDataSet,https://huggingface.co/datasets/microsoft/FStarDataSet,False
microsoft/orca-math-word-problems-200k,https://huggingface.co/datasets/microsoft/orca-math-word-problems-200k,True
future-architect/Llama-3.3-Future-Code-Instructions,https://huggingface.co/datasets/future-architect/Llama-3.3-Future-Code-Instructions,True
allenai/mathfish-tasks,https://huggingface.co/datasets/allenai/mathfish-tasks,False
PJMixers-Dev/sequelbox_Raiden-DeepSeek-R1-Shuffled-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/sequelbox_Raiden-DeepSeek-R1-Shuffled-ShareGPT,False
bigcode/python-stack-v1-functions-filtered-sc2-subset,https://huggingface.co/datasets/bigcode/python-stack-v1-functions-filtered-sc2-subset,False
bigcode/commits_sample_files,https://huggingface.co/datasets/bigcode/commits_sample_files,False
bigcode/commitpack,https://huggingface.co/datasets/bigcode/commitpack,False
bigcode/MultiPL-E-completions,https://huggingface.co/datasets/bigcode/MultiPL-E-completions,True
PJMixers-Dev/abacusai_SystemChat-1.1-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/abacusai_SystemChat-1.1-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
PJMixers-Dev/allenai_WildChat-1M-gemini-exp-1206-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/allenai_WildChat-1M-gemini-exp-1206-ShareGPT,True
PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-exp-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-exp-ShareGPT,True
PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/allenai_WildChat-1M-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
PJMixers-Dev/lmsys_lmsys-chat-1m-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/lmsys_lmsys-chat-1m-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
PJMixers-Dev/Gryphe_ChatGPT-4o-Writing-Prompts-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/Gryphe_ChatGPT-4o-Writing-Prompts-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
allenai/llama-3-tulu-v2-sft-subset,https://huggingface.co/datasets/allenai/llama-3-tulu-v2-sft-subset,True
OALL/details_EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,https://huggingface.co/datasets/OALL/details_EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-COT-details,True
Alishohadaee/leetcode-problems-dataset,https://huggingface.co/datasets/Alishohadaee/leetcode-problems-dataset,False
PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-exp-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-exp-ShareGPT,True
open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-divergent-details,True
open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Logic-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Logic-details,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.004-128K-code-ds-auto-details,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-details,True
open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Empathy-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Polypsyche-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-auto-Empathy-details,True
allenai/dolma3_pool,https://huggingface.co/datasets/allenai/dolma3_pool,
PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,https://huggingface.co/datasets/PJMixers-Dev/WizardLMTeam_WizardLM_evol_instruct_70k-gemini-2.0-flash-thinking-exp-1219-CustomShareGPT,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-ds-details,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-details,True
open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI__Fireball-Meta-Llama-3.2-8B-Instruct-agent-003-128k-code-DPO-details,True
open-llm-leaderboard/EpistemeAI2__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI2__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math-details,True
open-llm-leaderboard/EpistemeAI2__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT-details,https://huggingface.co/datasets/open-llm-leaderboard/EpistemeAI2__Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT-details,True
allenai/reward-bench,https://huggingface.co/datasets/allenai/reward-bench,False
internlm/SWE-Fixer-Train-110K,https://huggingface.co/datasets/internlm/SWE-Fixer-Train-110K,False
flytech/python-codes-25k,https://huggingface.co/datasets/flytech/python-codes-25k,False
PJMixers-Dev/proxy-logs-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/proxy-logs-ShareGPT,False
PJMixers-Dev/sequelbox_Tachibana2-DeepSeek-R1-PREVIEW-Shuffled-ShareGPT,https://huggingface.co/datasets/PJMixers-Dev/sequelbox_Tachibana2-DeepSeek-R1-PREVIEW-Shuffled-ShareGPT,True
PJMixers-Dev/Fundus-105K-Formatted-Qwen2.5-Coder-7B-Instruct-Classified,https://huggingface.co/datasets/PJMixers-Dev/Fundus-105K-Formatted-Qwen2.5-Coder-7B-Instruct-Classified,False
allenai/tulu-3-sft-mixture-0225,https://huggingface.co/datasets/allenai/tulu-3-sft-mixture-0225,False
allenai/soda,https://huggingface.co/datasets/allenai/soda,True
PJMixers-Dev/LimaRP-R1T2-Chimera-all,https://huggingface.co/datasets/PJMixers-Dev/LimaRP-R1T2-Chimera-all,False
microsoft/BiomedParseData,https://huggingface.co/datasets/microsoft/BiomedParseData,False
mesolitica/python-act,https://huggingface.co/datasets/mesolitica/python-act,False
mesolitica/chatgpt-malaysian-extractive-qa,https://huggingface.co/datasets/mesolitica/chatgpt-malaysian-extractive-qa,True
mesolitica/chatgpt-malaysian-general-qa,https://huggingface.co/datasets/mesolitica/chatgpt-malaysian-general-qa,True
mesolitica/chatgpt4-malaysian-general-qa,https://huggingface.co/datasets/mesolitica/chatgpt4-malaysian-general-qa,True
mesolitica/chatgpt4-kertas1,https://huggingface.co/datasets/mesolitica/chatgpt4-kertas1,True
mesolitica/ayat-aktif-pasif,https://huggingface.co/datasets/mesolitica/ayat-aktif-pasif,True
mesolitica/chatgpt-malaysian-open-qa,https://huggingface.co/datasets/mesolitica/chatgpt-malaysian-open-qa,True
google/speech_commands,https://huggingface.co/datasets/google/speech_commands,False
allenai/MolmoPoint-GUISyn,https://huggingface.co/datasets/allenai/MolmoPoint-GUISyn,True
PJMixers-Dev/WildChat-1M-R1T2-Chimera-all,https://huggingface.co/datasets/PJMixers-Dev/WildChat-1M-R1T2-Chimera-all,True
PJMixers-Dev/LimaRP-R1T2-Chimera-GGRP-all,https://huggingface.co/datasets/PJMixers-Dev/LimaRP-R1T2-Chimera-GGRP-all,False
PJMixers-Dev/LMSYS-Chat-1M-R1T2-Chimera-all,https://huggingface.co/datasets/PJMixers-Dev/LMSYS-Chat-1M-R1T2-Chimera-all,True
allenai/openassistant-guanaco-reformatted,https://huggingface.co/datasets/allenai/openassistant-guanaco-reformatted,False
allenai/SciRIFF,https://huggingface.co/datasets/allenai/SciRIFF,False
allenai/tulu-v2-sft-mixture,https://huggingface.co/datasets/allenai/tulu-v2-sft-mixture,False
allenai/WildChat-nontoxic,https://huggingface.co/datasets/allenai/WildChat-nontoxic,False
allenai/CoSyn-point,https://huggingface.co/datasets/allenai/CoSyn-point,True
allenai/llama-3.1-tulu-3-405b-preference-mixture,https://huggingface.co/datasets/allenai/llama-3.1-tulu-3-405b-preference-mixture,True
allenai/pixmo-docs,https://huggingface.co/datasets/allenai/pixmo-docs,True
allenai/code_fresh_0825_1225,https://huggingface.co/datasets/allenai/code_fresh_0825_1225,False
allenai/Molmo2-SynMultiImageQA,https://huggingface.co/datasets/allenai/Molmo2-SynMultiImageQA,True
allenai/Dolci-Think-RL-7B,https://huggingface.co/datasets/allenai/Dolci-Think-RL-7B,True
williambarberjr/magpie_function_calling_dataset_sharegpt,https://huggingface.co/datasets/williambarberjr/magpie_function_calling_dataset_sharegpt,False
DeepNLP/Agent-Function-Calling-Open-Dataset,https://huggingface.co/datasets/DeepNLP/Agent-Function-Calling-Open-Dataset,True
allenai/tulu-3-wildchat-reused-on-policy-8b,https://huggingface.co/datasets/allenai/tulu-3-wildchat-reused-on-policy-8b,True
allenai/tulu-3-wildchat-if-on-policy-70b,https://huggingface.co/datasets/allenai/tulu-3-wildchat-if-on-policy-70b,True
allenai/tulu-3-wildchat-reused-on-policy-70b,https://huggingface.co/datasets/allenai/tulu-3-wildchat-reused-on-policy-70b,True
allenai/tulu-3-wildchat-ultrafeedback,https://huggingface.co/datasets/allenai/tulu-3-wildchat-ultrafeedback,True
allenai/tulu-3-sft-reused-off-policy,https://huggingface.co/datasets/allenai/tulu-3-sft-reused-off-policy,True
allenai/tulu-3-wildchat-if-on-policy-8b,https://huggingface.co/datasets/allenai/tulu-3-wildchat-if-on-policy-8b,True
allenai/RLVR-GSM,https://huggingface.co/datasets/allenai/RLVR-GSM,False
allenai/RLVR-GSM-MATH-IF-Mixed-Constraints,https://huggingface.co/datasets/allenai/RLVR-GSM-MATH-IF-Mixed-Constraints,False
google/ConvApparel,https://huggingface.co/datasets/google/ConvApparel,False
microsoft/meta_woz,https://huggingface.co/datasets/microsoft/meta_woz,False
mesolitica/mixtral-malaysian-rag,https://huggingface.co/datasets/mesolitica/mixtral-malaysian-rag,False
mesolitica/Malaysian-Ultrachat,https://huggingface.co/datasets/mesolitica/Malaysian-Ultrachat,False
codelion/dclm-baseline-100M,https://huggingface.co/datasets/codelion/dclm-baseline-100M,False
codelion/fineweb-edu-10M,https://huggingface.co/datasets/codelion/fineweb-edu-10M,False
codelion/fineweb-edu-100M,https://huggingface.co/datasets/codelion/fineweb-edu-100M,False
codelion/dclm-baseline-1B,https://huggingface.co/datasets/codelion/dclm-baseline-1B,False
codelion/finepdfs-100M,https://huggingface.co/datasets/codelion/finepdfs-100M,False
codelion/fineweb-edu-1B,https://huggingface.co/datasets/codelion/fineweb-edu-1B,False
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-thought-anchors,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-thought-anchors,False
codelion/finepdfs-1B,https://huggingface.co/datasets/codelion/finepdfs-1B,False
microsoft/SWE-Sharp-Bench,https://huggingface.co/datasets/microsoft/SWE-Sharp-Bench,False
codelion/synth-100M,https://huggingface.co/datasets/codelion/synth-100M,False
codelion/synth-10M,https://huggingface.co/datasets/codelion/synth-10M,False
codelion/finepdfs-10M,https://huggingface.co/datasets/codelion/finepdfs-10M,False
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts,False
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-steering-vectors,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-steering-vectors,False
codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-dpo-pairs,https://huggingface.co/datasets/codelion/DeepSeek-R1-Distill-Qwen-1.5B-pts-dpo-pairs,False
codelion/dclm-baseline-10M,https://huggingface.co/datasets/codelion/dclm-baseline-10M,False
